id,createdAt,email,appName,slug,platform,code,repoUrl,repoName,status,releaseUrl,updatedAt
gen-msosg1yl-pdow5l,2026-08-11T15:01:22.029Z,demo**@example.com,Test Notes,test-notes,android,DEMO-0001,https://github.com/SatPaingOo/app-test-notes-rmud,SatPaingOo/app-test-notes-rmud,building,,2026-08-11T15:01:22.029Z
gen-msotmbex-66ip0a,2026-08-11T15:34:13.833Z,test*****@gmail.com,Ha Ha,ha-ha,windows,DEMO-0003,https://github.com/SatPaingOo/app-ha-ha-a6md,SatPaingOo/app-ha-ha-a6md,building,,2026-08-11T15:34:13.833Z
gen-msotybep-ko4gmn,2026-08-11T15:43:33.697Z,demo*****@example.com,Demo Export,demo-export,android,DEMO-0002,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/demo-export,public/exports/android/demo-export,building,,2026-08-11T15:43:33.697Z
gen-msov4w37-207b7e,2026-08-11T16:16:40.051Z,colo*****@example.com,Color Test,color-test,android,DEMO-0003,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/color-test,public/exports/android/color-test,building,,2026-08-11T16:16:40.052Z
gen-msoy00v3-dobvul,2026-08-11T17:36:51.807Z,colo*****@example.com,Color Test,color-test,android,DEMO-0003,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/color-test,public/exports/android/color-test,building,,2026-08-11T17:36:51.807Z
gen-mspozj7b-xpb0u3,2026-08-12T06:12:18.551Z,fina*****@example.com,Final Check,final-check,android,DEMO-0004,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/final-check,public/exports/android/final-check,building,,2026-08-12T06:12:18.551Z
gen-mspptdst-kdf9d8,2026-08-12T06:35:31.229Z,win**@example.com,Win Test,win-test,windows,TGEN-TMA9MECZ,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/windows/win-test,public/exports/windows/win-test,building,,2026-08-12T06:35:31.229Z
gen-msppzl99-mei29f,2026-08-12T06:40:20.829Z,win**@example.com,Win Test,win-test,windows,TGEN-LQZGW2GH,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/windows/win-test,public/exports/windows/win-test,building,,2026-08-12T06:40:20.829Z
gen-mspt0q3g-i85ami,2026-08-12T08:05:12.604Z,db**@example.com,Vercel DB Test,vercel-db-test,android,TGEN-L9Q5T5FU,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/vercel-db-test,public/exports/android/vercel-db-test,building,,2026-08-12T08:05:12.604Z
gen-mspzhdzg-1z94ay,2026-08-12T11:06:07.756Z,prod**@example.com,Prod Test,prod-test,android,TGEN-W5RH2SZM,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/prod-test,public/exports/android/prod-test,building,,2026-08-12T11:06:07.756Z
gen-msq0r1rv-ep59og,2026-08-12T11:41:38.107Z,satp*****@gmail.com,Email Test,email-test,android,TGEN-EB8V8KU8,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/email-test,public/exports/android/email-test,building,,2026-08-12T11:41:38.107Z
gen-msr8wa9a-vt2vbb,2026-08-13T08:17:25.486Z,kyaw*****@gmail.com,Warning App,warning-app,android,TGEN-4T7UDLGN,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/android/warning-app,public/exports/android/warning-app,done,,2026-08-13T08:24:07.421Z,1.0.0
gen-msriqjkc-ankz5u,2026-08-13T12:52:53.772Z,tgen*****@gmail.com,TGen10,tgen10,windows,TGEN-D2HV2QG4,https://github.com/SatPaingOo/t-github-generate/tree/main/public/exports/windows/tgen10,public/exports/windows/tgen10,queued,,2026-08-13T12:52:53.772Z,1.0.0
